0,print("Hello, world!"),1
1,prnt("Hello, world!"),0
2,x = 5; y = 10; print(x + y),1
3,x = 5; y = "10"; print(x + y),0
4,numbers = [1, 2, 3, 4, 5]; print(sum(numbers)),1
5,numbers = [1, 2, 3, 4, 5]; print(sum("numbers")),0
6,x = 10; y = 2; print(x / y),1
7,x = 10; y = 0; print(x / y),0
8,name = "Alice"; print(f"Hello, {name}!"),1
9,name = "Alice"; print(f"Hello, {name),0
10,result = "Success" if x > 0 else "Failure"; print(result),0
11,result = "Success" if x > 0 else "Failure"; print(Result),0
12,import math; print(math.sqrt(16)),1
13,import maths; print(math.sqrt(16)),0
14,for i in range(5): print(i),1
15,for i in range(5); print(i),0
16,numbers = [1, 2, 3, 4, 5]; print(numbers[2]),1
17,numbers = [1, 2, 3, 4, 5]; print(numbers[5]),0
18,x = 5; y = 10; z = x + y; print(z),1
19,x = 5; y = 10; z = x + y; print(Z),0
20,def square(x): return x ** 2; print(square(3)),1
21,def square(x); return x ** 2; print(square(3)),0
22,fruits = ["apple", "banana", "cherry"]; print(len(fruits)),1
23,fruits = ("apple", "banana", "cherry"); print(len(fruits)),1
24,x = 5; print(f"x is {x}" if x > 0 else "x is negative"),1
25,x = 5; print(f"x is {x}" if x > 0 else "x is negative),0
26,x = [1, 2, 3]; y = [4, 5, 6]; z = x + y; print(z),1
27,x = [1, 2, 3]; y = [4, 5, 6]; z = x - y; print(z),0
28,x = 10; assert x > 0, "x should be positive"; print("Valid assertion"),1
29,x = 10; assert x < 0, "x should be positive"; print("Valid assertion"),0
30,x = 5; y = 0; print(x / y) if y != 0 else print("Cannot divide by zero"),1
31,x = 5; y = 0; print(x / y) if y == 0 else print("Cannot divide by zero"),0
32,names = {"Alice", "Bob", "Charlie"}; print(names),1
33,names = {"Alice", "Bob", "Charlie"}; print(names[0]),0
34,x = 5; y = 10; x, y = y, x; print(x, y),1
35,x = 5; y = 10; x, y = y; print(x, y),0
36,x = "Hello"; print(x.lower()),1
37,x = 5; print(x.lower()),0
38,x = 5; y = "10"; print(x + int(y)),1
39,x = 5; y = "ten"; print(x + int(y)),0
40,def add(a, b): return a + b; print(add(3, 5)),1
41,def add(a, b): return a + b; print(Add(3, 5)),1
42,x = 5; y = "10"; print(x + float(y)),1
43,x = 5; y = "ten"; print(x + float(y)),0
44,for i in range(5): print(i); print("Done"),1
45,for i in range(5); print(i); print("Done"),0
46,x = 10; y = 2; assert y != 0; print(x / y),1
47,x = 10; y = 0; assert y != 0; print(x / y),0
48,x = 5; y = 10; if x < y: print("x is smaller than y"),0
49,x = 5; y = 10; if x > y: print("x is smaller than y"),0
